Model Name,Price,CC,Mileage,Weight,Links
KTM 200 Duke,"₹ 1,90,000",199.5 CC,35 Km/l,159 Kg,https://www.carandbike.com/ktm-bikes/200-duke
Suzuki Gixxer SF 250,"₹ 1,81,900",249.0 CC,38.5 Km/l,161 Kg,https://www.carandbike.com/suzuki-bikes/gixxer-sf-250
Kawasaki Ninja ZX-10R,"₹ 15,37,000",998.0 CC,15 Km/l,206 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-zx-10r
BMW S 1000 RR,"₹ 19,50,000",999.0 CC,17 Km/l,197 Kg,https://www.carandbike.com/bmw-bikes/s-1000-rr
Suzuki Burgman,"₹ 84,300",124.0 CC,53.5 Km/l,110 Kg,https://www.carandbike.com/suzuki-bikes/burgman
Tork Motors Kratos,"₹ 1,02,499",NA,120 Km/Full Charge,120 Kg,https://www.carandbike.com/tork-motors-bikes/kratos
Bajaj Dominar 250,"₹ 1,54,176",248.8 CC,35 Km/l,180 Kg,https://www.carandbike.com/bajaj-bikes/dominar-250
TVS Star City +,"₹ 65,865",109.7 CC,86 Km/l,116 Kg,https://www.carandbike.com/tvs-bikes/star-city-plus
TVS Apache RTR 180,"₹ 1,03,950",177.4 CC,47 Km/l,139 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-180
Bajaj CT 110,"₹ 46,413",115.0 CC,104 Km/l,117 Kg,https://www.carandbike.com/bajaj-bikes/ct-110
Yamaha FZ-X,"₹ 1,16,800",149.0 CC,N/A,139 Kg,https://www.carandbike.com/yamaha-bikes/fz-x
Bajaj Avenger Street 160,"₹ 1,01,094",160.3 CC,45 Km/l,156 Kg,https://www.carandbike.com/bajaj-bikes/avenger-street-160
Hero Electric Photon HX,"₹ 74,240",NA,108 Km/Full Charge,87 Kg,https://www.carandbike.com/hero-electric-bikes/photon-hx
Kawasaki Ninja 650,"₹ 6,68,000",649.0 CC,21 Km/l,196 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-650
TVS Victor,"₹ 54,042",109.7 CC,72 - 76 Km/l,112 Kg,https://www.carandbike.com/tvs-bikes/victor
Atumobile Atum 1.0,"₹ 50,000",NA,100 Km/Full Charge,108 Kg,https://www.carandbike.com/atumobile-bikes/atum-10
Honda Grazia,"₹ 82,566",124.0 CC,54 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/grazia
Bajaj Chetak,"₹ 1,00,000",NA,95 Km/Full Charge,100 Kg,https://www.carandbike.com/bajaj-bikes/chetak
Okinawa Praise,"₹ 71,990",NA,170 Km/Full Charge,96 Kg,https://www.carandbike.com/okinawa-bikes/praise
Oben Electric Rorr,"₹ 1,02,999",NA,200 Km/Full Charge,120 Kg,https://www.carandbike.com/oben-electric-bikes/rorr
Bajaj Avenger Street 220,"₹ 1,03,891",220.0 CC,45 Km/l,150 Kg,https://www.carandbike.com/bajaj-bikes/avenger-street-220
JAWA Perak,"₹ 2,08,187",334.0 CC,35 Km/l,175 Kg,https://www.carandbike.com/jawa-bikes/perak
